province,district,total_population,number_of_hospitals,total_doctors,number_of_schools,avg_boys_enrolled_pct,avg_girls_enrolled_pct
BALOCHISTAN,awaran,122011.0,0.0,0.0,1068.0,85.38,14.620000000000001
BALOCHISTAN,barkhan,171556.0,0.0,0.0,2436.0,93.2475,6.755
BALOCHISTAN,chagai,226008.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,dera bugti,312603.0,0.0,0.0,1424.0,97.6075,2.3925
BALOCHISTAN,gwadar,263514.0,0.0,0.0,1092.0,71.8275,28.175
BALOCHISTAN,harnai,97017.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,jaffarabad,513813.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,jhal magsi,149225.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,kachhi,237030.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,kalat,412232.0,0.0,0.0,1908.0,70.1375,29.865
BALOCHISTAN,kech,909116.0,3.0,111.0,0.0,0.0,0.0
BALOCHISTAN,kharan,156152.0,0.0,0.0,928.0,75.3175,24.685000000000002
BALOCHISTAN,khuzdar,802207.0,4.0,1111.0,2904.0,68.54499999999999,31.455000000000002
BALOCHISTAN,killa abdullah,757578.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,killa saifullah,342814.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,kohlu,214350.0,0.0,0.0,1784.0,96.35,3.65
BALOCHISTAN,lasbela,574292.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,lehri,118046.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,loralai,397400.0,3.0,121.0,2892.0,76.5275,23.4725
BALOCHISTAN,mastung,266461.0,0.0,0.0,1512.0,73.7525,26.25
BALOCHISTAN,musakhel,167017.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,nasirabad,490538.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,nushki,178796.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,panjgur,316385.0,0.0,0.0,1572.0,78.8775,21.125
BALOCHISTAN,pishin,736481.0,0.0,0.0,3944.0,79.0775,20.9225
BALOCHISTAN,quetta,2275699.0,146.0,0.0,2288.0,65.1725,34.83
BALOCHISTAN,sherani,153116.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,sibi,135572.0,0.0,0.0,1056.0,66.67,33.33
BALOCHISTAN,sohbatpur,200538.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,washuk,176206.0,0.0,0.0,0.0,0.0,0.0
BALOCHISTAN,zhob,310544.0,0.0,0.0,1396.0,83.435,16.565
BALOCHISTAN,ziarat,160422.0,0.0,0.0,1056.0,79.6725,20.330000000000002
FATA,bajaur agency,1093684.0,0.0,0.0,0.0,0.0,0.0
FATA,fr bannu,43114.0,0.0,0.0,0.0,0.0,0.0
FATA,fr dikhan,68556.0,0.0,0.0,0.0,0.0,0.0
FATA,fr kohat,118578.0,0.0,0.0,0.0,0.0,0.0
FATA,fr lakki marwat,26359.0,0.0,0.0,0.0,0.0,0.0
FATA,fr peshawar,64691.0,0.0,0.0,0.0,0.0,0.0
FATA,fr tank,36389.0,0.0,0.0,0.0,0.0,0.0
FATA,khyber agency,986973.0,0.0,0.0,0.0,0.0,0.0
FATA,kurram agency,619553.0,0.0,0.0,0.0,0.0,0.0
FATA,mohmand agency,466984.0,0.0,0.0,0.0,0.0,0.0
